ticker,title,publisher,published_utc
NVDA,Nvidia announces 10B AI superchip contract with US government,Reuters,2025-11-13T13:00:00Z
MU,Micron raises Q1 revenue outlook above estimates,YahooFinance,2025-11-13T13:00:00Z
AVGO,Broadcom signs multiyear AI infrastructure deal with large cloud provider,TechCrunch,2025-11-13T13:00:00Z
AMD,AMD unveils next generation AI accelerator with major performance gains,Reuters,2025-11-13T13:00:00Z
TSLA,Tesla reports record quarterly vehicle deliveries,SFChronicle,2025-11-13T13:00:00Z
UBER,Uber posts first full year profit in company history,CNBC,2025-11-13T13:00:00Z
CRM,Salesforce beats earnings and raises full year guidance,BusinessWire,2025-11-13T13:00:00Z
AMZN,Amazon announces large share buyback plan,Reuters,2025-11-13T13:00:00Z
AAPL,Apple secures long term supply deal for key display components,Bloomberg,2025-11-13T13:00:00Z
PLTR,Palantir wins billion dollar analytics contract with US Army,YahooFinance,2025-11-13T13:00:00Z
LMT,Lockheed Martin receives large defense contract for missile systems,DefenseNews,2025-11-13T13:00:00Z
ENPH,Enphase secures major European solar deployment project,SolarDaily,2025-11-13T13:00:00Z
GE,GE Aerospace announces multibillion engine order from major airline,Reuters,2025-11-13T13:00:00Z
TTD,Trade Desk beats estimates and issues strong revenue outlook,MarketWatch,2025-11-13T13:00:00Z
CELH,Celsius expands distribution partnership with global beverage company,MarketBeat,2025-11-13T13:00:00Z
RIVN,Rivian secures battery supply agreement with large manufacturer,Electrek,2025-11-13T13:00:00Z
TSLA,Tesla halts production at major plant due to parts shortage,Bloomberg,2025-11-13T13:00:00Z
NVDA,Nvidia faces new export restrictions on AI chips to China,Reuters,2025-11-13T13:00:00Z
AAPL,Apple warns of iPhone supply constraints for next quarter,YahooFinance,2025-11-13T13:00:00Z
AMD,AMD reports revenue miss and weak forward guidance,Reuters,2025-11-13T13:00:00Z
SHOP,Shopify chief operating officer resigns and shares fall after hours,SeekingAlpha,2025-11-13T13:00:00Z
BA,Boeing discovers new quality issue in key aircraft program,CNBC,2025-11-13T13:00:00Z
NFLX,Netflix subscriber growth slows sharply,MarketWatch,2025-11-13T13:00:00Z
DIS,Disney cuts full year guidance amid streaming losses,Reuters,2025-11-13T13:00:00Z
ABNB,Airbnb issues weak revenue outlook as bookings slow,CNBC,2025-11-13T13:00:00Z
PANW,Palo Alto Networks shares slip after downgrade to underperform,Barrons,2025-11-13T13:00:00Z
COIN,Coinbase hit with securities regulator lawsuit over tokens,Reuters,2025-11-13T13:00:00Z
CHPT,ChargePoint misses revenue and warns on liquidity,YahooFinance,2025-11-13T13:00:00Z
SNAP,Snap reports advertising slowdown and announces job cuts,TechCrunch,2025-11-13T13:00:00Z
LCID,Lucid slashes production targets again,Electrek,2025-11-13T13:00:00Z
MU,Micron director purchases several million dollars of shares,SecFiling,2025-11-13T13:00:00Z
CRM,Salesforce chief executive sells large block of shares,SecFiling,2025-11-13T13:00:00Z
PATH,UiPath insider buys stock after post earnings selloff,MarketBeat,2025-11-13T13:00:00Z
SOFI,SoFi executives sell shares during recent rally,YahooFinance,2025-11-13T13:00:00Z
AVGO,Broadcom to acquire cybersecurity company in multibillion deal,Reuters,2025-11-13T13:00:00Z
MSFT,Microsoft in talks to buy data platform company for large sum,Bloomberg,2025-11-13T13:00:00Z
REGN,Regeneron cholesterol drug receives approval from regulator,Reuters,2025-11-13T13:00:00Z
BMRN,BioMarin receives complete response letter from regulator,BusinessWire,2025-11-13T13:00:00Z
NFLX,Netflix upgraded to buy at major bank on strong content slate,Reuters,2025-11-13T13:00:00Z
AAPL,Apple announces new colors for iPhone lineup,TechRadar,2025-11-13T13:00:00Z
AMZN,Amazon opens new fulfillment center in US state,WSJ,2025-11-13T13:00:00Z
GOOGL,"Buffett acquires $4.9 billion stake in Google parent Alphabet",Bloomberg,2025-11-14T13:00:00Z
TELEGRAPH,"RedBird pulls $500 million bid for UK's Telegraph newspaper",Bloomberg,2025-11-14T13:05:00Z
NEE,"5,937 shares in NextEra Energy Inc. (NEE) bought by Hibernia Wealth Partners LLC",MarketBeat,2025-11-14T13:10:00Z
