ticker,title,publisher,published_utc,event_type,prob_up_10d
GE,GE Aerospace announces multibillion engine order from major airline,Reuters,2025-11-13T13:00:00Z,other,0.63213354
PANW,Palo Alto Networks shares slip after downgrade to underperform,Barrons,2025-11-13T13:00:00Z,analyst_downgrade,0.6290848
NVDA,Nvidia announces 10B AI superchip contract with US government,Reuters,2025-11-13T13:00:00Z,other,0.6137268
MU,Micron raises Q1 revenue outlook above estimates,YahooFinance,2025-11-13T13:00:00Z,other,0.60667574
MU,Micron director purchases several million dollars of shares,SecFiling,2025-11-13T13:00:00Z,other,0.60667574
ENPH,Enphase secures major European solar deployment project,SolarDaily,2025-11-13T13:00:00Z,other,0.6049085
NVDA,Nvidia faces new export restrictions on AI chips to China,Reuters,2025-11-13T13:00:00Z,other,0.5835546
LMT,Lockheed Martin receives large defense contract for missile systems,DefenseNews,2025-11-13T13:00:00Z,other,0.54959357
PLTR,Palantir wins billion dollar analytics contract with US Army,YahooFinance,2025-11-13T13:00:00Z,contract_major,0.54298306
AAPL,Apple secures long term supply deal for key display components,Bloomberg,2025-11-13T13:00:00Z,other,0.49722812
MSFT,Microsoft in talks to buy data platform company for large sum,Bloomberg,2025-11-13T13:00:00Z,other,0.49583554
CRM,Salesforce beats earnings and raises full year guidance,BusinessWire,2025-11-13T13:00:00Z,other,0.49174327
AAPL,Apple announces new colors for iPhone lineup,TechRadar,2025-11-13T13:00:00Z,other,0.48992616
AMD,AMD unveils next generation AI accelerator with major performance gains,Reuters,2025-11-13T13:00:00Z,product_launch,0.48992616
AMZN,Amazon opens new fulfillment center in US state,WSJ,2025-11-13T13:00:00Z,other,0.48992616
TSLA,Tesla reports record quarterly vehicle deliveries,SFChronicle,2025-11-13T13:00:00Z,other,0.48992616
AMZN,Amazon announces large share buyback plan,Reuters,2025-11-13T13:00:00Z,buyback,0.48992616
ABNB,Airbnb issues weak revenue outlook as bookings slow,CNBC,2025-11-13T13:00:00Z,legal_risk,0.48992616
BA,Boeing discovers new quality issue in key aircraft program,CNBC,2025-11-13T13:00:00Z,other,0.48992616
SHOP,Shopify chief operating officer resigns and shares fall after hours,SeekingAlpha,2025-11-13T13:00:00Z,other,0.48992616
PATH,UiPath insider buys stock after post earnings selloff,MarketBeat,2025-11-13T13:00:00Z,negative_move,0.48992616
CHPT,ChargePoint misses revenue and warns on liquidity,YahooFinance,2025-11-13T13:00:00Z,other,0.48992616
TSLA,Tesla halts production at major plant due to parts shortage,Bloomberg,2025-11-13T13:00:00Z,operational_issue,0.48992616
AAPL,Apple warns of iPhone supply constraints for next quarter,YahooFinance,2025-11-13T13:00:00Z,other,0.48992616
RIVN,Rivian secures battery supply agreement with large manufacturer,Electrek,2025-11-13T13:00:00Z,other,0.48992616
SOFI,SoFi executives sell shares during recent rally,YahooFinance,2025-11-13T13:00:00Z,other,0.48992616
CRM,Salesforce chief executive sells large block of shares,SecFiling,2025-11-13T13:00:00Z,other,0.48992616
REGN,Regeneron cholesterol drug receives approval from regulator,Reuters,2025-11-13T13:00:00Z,regulatory_approval,0.48992616
COIN,Coinbase hit with securities regulator lawsuit over tokens,Reuters,2025-11-13T13:00:00Z,legal_risk,0.48992616
TTD,Trade Desk beats estimates and issues strong revenue outlook,MarketWatch,2025-11-13T13:00:00Z,legal_risk,0.4891385
UBER,Uber posts first full year profit in company history,CNBC,2025-11-13T13:00:00Z,other,0.4848191
AVGO,Broadcom to acquire cybersecurity company in multibillion deal,Reuters,2025-11-13T13:00:00Z,m&a,0.4848191
CELH,Celsius expands distribution partnership with global beverage company,MarketBeat,2025-11-13T13:00:00Z,partnership,0.4848191
NFLX,Netflix upgraded to buy at major bank on strong content slate,Reuters,2025-11-13T13:00:00Z,analyst_upgrade,0.48256874
AMD,AMD reports revenue miss and weak forward guidance,Reuters,2025-11-13T13:00:00Z,earnings_miss_or_cut,0.48041087
NFLX,Netflix subscriber growth slows sharply,MarketWatch,2025-11-13T13:00:00Z,other,0.48032242
LCID,Lucid slashes production targets again,Electrek,2025-11-13T13:00:00Z,other,0.47292942
AVGO,Broadcom signs multiyear AI infrastructure deal with large cloud provider,TechCrunch,2025-11-13T13:00:00Z,other,0.47241
SNAP,Snap reports advertising slowdown and announces job cuts,TechCrunch,2025-11-13T13:00:00Z,other,0.4449269
DIS,Disney cuts full year guidance amid streaming losses,Reuters,2025-11-13T13:00:00Z,other,0.42631912
BMRN,BioMarin receives complete response letter from regulator,BusinessWire,2025-11-13T13:00:00Z,earnings_miss_or_cut,0.37026498
